Type,value,sd,trait,treatment
Pi,0.018043,0.024848,ASI_BLUP,Ag
NnzSnp,6150.569824,8470.90625,ASI_BLUP,Ag
SigmaSq,8e-05,0.000102,ASI_BLUP,Ag
S,-1.358386,0.917591,ASI_BLUP,Ag
ResVar,0.378133,0.096735,ASI_BLUP,Ag
GenVar,0.29913,0.097571,ASI_BLUP,Ag
hsq,0.441115,0.138566,ASI_BLUP,Ag
Pi,0.010392,0.006836,DTA_BLUP,Ag
NnzSnp,3542.361572,2330.255371,DTA_BLUP,Ag
SigmaSq,0.001494,0.001138,DTA_BLUP,Ag
S,-1.484389,0.255615,DTA_BLUP,Ag
ResVar,2.058868,0.601869,DTA_BLUP,Ag
GenVar,17.5483,0.855862,DTA_BLUP,Ag
hsq,0.894948,0.030638,DTA_BLUP,Ag
Pi,0.030848,0.047196,DTS_BLUP,Ag
NnzSnp,10516.875977,16091.279297,DTS_BLUP,Ag
SigmaSq,0.003334,0.003023,DTS_BLUP,Ag
S,-1.090313,1.000717,DTS_BLUP,Ag
ResVar,2.75093,0.825196,DTS_BLUP,Ag
GenVar,25.989647,1.223843,DTS_BLUP,Ag
hsq,0.904238,0.028699,DTS_BLUP,Ag
Pi,0.023229,0.033145,EH_BLUP,Ag
NnzSnp,7918.838379,11300.952148,EH_BLUP,Ag
SigmaSq,0.015237,0.010322,EH_BLUP,Ag
S,-1.438502,0.531141,EH_BLUP,Ag
ResVar,42.057659,12.486249,EH_BLUP,Ag
GenVar,180.933075,14.976441,EH_BLUP,Ag
hsq,0.811286,0.055703,EH_BLUP,Ag
Pi,0.010706,0.007816,EP_BLUP,Ag
NnzSnp,3649.008057,2664.166504,EP_BLUP,Ag
SigmaSq,0.002191,0.002818,EP_BLUP,Ag
S,-1.530269,0.269902,EP_BLUP,Ag
ResVar,4.914153,1.406015,EP_BLUP,Ag
GenVar,23.193821,1.756617,EP_BLUP,Ag
hsq,0.825037,0.049923,EP_BLUP,Ag
Pi,0.094379,0.052771,LAL_BLUP,Ag
NnzSnp,32177.720703,17991.162109,LAL_BLUP,Ag
SigmaSq,0.056728,0.092619,LAL_BLUP,Ag
S,1.162046,0.482327,LAL_BLUP,Ag
ResVar,10.302828,3.162241,LAL_BLUP,Ag
GenVar,100.969543,4.640633,LAL_BLUP,Ag
hsq,0.907349,0.028473,LAL_BLUP,Ag
Pi,0.103376,0.054491,LAU_BLUP,Ag
NnzSnp,35246.0625,18577.898438,LAU_BLUP,Ag
SigmaSq,0.034049,0.041694,LAU_BLUP,Ag
S,0.873606,0.581359,LAU_BLUP,Ag
ResVar,9.632331,3.148557,LAU_BLUP,Ag
GenVar,87.991722,4.399804,LAU_BLUP,Ag
hsq,0.901257,0.032343,LAU_BLUP,Ag
Pi,0.032363,0.033567,LL_BLUP,Ag
NnzSnp,11032.72168,11443.970703,LL_BLUP,Ag
SigmaSq,0.002799,0.002274,LL_BLUP,Ag
S,-1.18624,0.399224,LL_BLUP,Ag
ResVar,8.138907,2.83621,LL_BLUP,Ag
GenVar,33.054054,3.221695,LL_BLUP,Ag
hsq,0.802303,0.068543,LL_BLUP,Ag
Pi,0.082845,0.053255,LW_BLUP,Ag
NnzSnp,28243.794922,18155.246094,LW_BLUP,Ag
SigmaSq,0.000162,0.000143,LW_BLUP,Ag
S,-0.0107,0.622024,LW_BLUP,Ag
ResVar,0.146196,0.055939,LW_BLUP,Ag
GenVar,0.834574,0.066037,LW_BLUP,Ag
hsq,0.850817,0.057074,LW_BLUP,Ag
Pi,0.080932,0.056722,PH_BLUP,Ag
NnzSnp,27591.173828,19338.363281,PH_BLUP,Ag
SigmaSq,0.15822,0.14,PH_BLUP,Ag
S,0.450337,1.021886,PH_BLUP,Ag
ResVar,100.823364,38.539646,PH_BLUP,Ag
GenVar,412.233765,42.976036,PH_BLUP,Ag
hsq,0.803355,0.074843,PH_BLUP,Ag
Pi,0.076367,0.044776,SD_LF2016,Ag
NnzSnp,26035.996094,15267.393555,SD_LF2016,Ag
SigmaSq,0.003997,0.002867,SD_LF2016,Ag
S,-0.076486,0.493029,SD_LF2016,Ag
ResVar,28.440056,8.914503,SD_LF2016,Ag
GenVar,22.148417,8.973365,SD_LF2016,Ag
hsq,0.43719,0.173761,SD_LF2016,Ag
Pi,0.040199,0.053465,TBN_BLUP,Ag
NnzSnp,13704.802734,18229.068359,TBN_BLUP,Ag
SigmaSq,0.008391,0.012742,TBN_BLUP,Ag
S,-0.268275,1.157958,TBN_BLUP,Ag
ResVar,2.190549,0.77929,TBN_BLUP,Ag
GenVar,17.655539,1.027629,TBN_BLUP,Ag
hsq,0.889502,0.039552,TBN_BLUP,Ag
Pi,0.076882,0.045839,TL_BLUP,Ag
NnzSnp,26212.535156,15628.048828,TL_BLUP,Ag
SigmaSq,0.001998,0.001388,TL_BLUP,Ag
S,-0.241231,0.495119,TL_BLUP,Ag
ResVar,2.104728,0.841553,TL_BLUP,Ag
GenVar,13.885826,1.020312,TL_BLUP,Ag
hsq,0.868217,0.052984,TL_BLUP,Ag
Pi,0.01534,0.012561,TLN_HN2016,Ag
NnzSnp,5229.512695,4282.181641,TLN_HN2016,Ag
SigmaSq,0.000143,0.000104,TLN_HN2016,Ag
S,-1.551535,0.323604,TLN_HN2016,Ag
ResVar,0.406581,0.145726,TLN_HN2016,Ag
GenVar,2.174357,0.172475,TLN_HN2016,Ag
hsq,0.842362,0.056396,TLN_HN2016,Ag
Pi,0.050887,0.040744,ULN_BLUP,Ag
NnzSnp,17349.554688,13890.438477,ULN_BLUP,Ag
SigmaSq,0.000116,0.000136,ULN_BLUP,Ag
S,0.321001,0.973483,ULN_BLUP,Ag
ResVar,0.175539,0.057262,ULN_BLUP,Ag
GenVar,0.190178,0.058547,ULN_BLUP,Ag
hsq,0.519401,0.155073,ULN_BLUP,Ag
Pi,0.061921,0.045262,ED_BLUP,Ag
NnzSnp,21112.013672,15432.832031,ED_BLUP,Ag
SigmaSq,0.001893,0.003328,ED_BLUP,Ag
S,-0.357105,0.461658,ED_BLUP,Ag
ResVar,1.955411,0.707889,ED_BLUP,Ag
