sampleID DTA_BLUP DTS_BLUP ASI_BLUP LAL_BLUP LAU_BLUP LW_BLUP LL_BLUP PH_BLUP EH_BLUP EP_BLUP TBN_BLUP TL_BLUP ULN_BLUP TLN_HN2016 SD_LF2016
10687 61.75 66.36 0.96 115.4 62.18 6.8 60.59 160.57 57.33 36.17 9.91 27.7 5.43 16 16.91
10688 56.93 61.95 1.55 135.38 43.91 8.59 66.37 168.02 62.75 37.79 5.68 32.19 4.98 15 17.76
10690 72.2 80.06 2.28 163.1 17.76 8.81 59.96 138.13 51.77 37.99 9.73 29.04 5.3 17.5 26.58
10692 65.21 73.1 1.99 136.57 45.33 8.56 80.55 195.51 80.71 41.28 9 31.39 5.72 18.5 18.99
10695 73.44 77.04 1.11 159.5 22.33 9.29 72.23 184.31 57.99 31.28 7.58 32.21 5.67 18 26.91
10696 64.69 71.7 2.14 155.67 26.44 7.74 72.43 201.44 65.37 32.49 6.85 27.94 5.69 17 18.65
10697 59.18 65.2 1.55 147.22 34.88 7.83 66.9 169.43 59.54 35.45 13.61 32.08 4.71 14.1 17.01
10698 72.8 79.36 1.26 159.5 20.39 8.54 74.83 180.57 57.64 31.89 7.09 28.05 6.03 20 26.93
10699 58.02 63.81 1.7 148.34 35.87 8.88 61.02 150.8 40.74 27.46 6.25 22.42 5.5 14 14.45
10700 67.48 74.02 0.96 159.06 19.25 8.14 71.58 185.66 54.15 29.24 5.94 30.53 6.37 16.8 21.53
10702 64.5 67.99 0.96 143.56 38.34 7.94 71.75 198.37 59.29 29.8 6.01 28.59 6.25 18 16.13
10703 66.49 73.56 1.99 153.33 32.59 9.83 69.76 214.82 77.76 35.83 6.91 32.88 5.62 17.8 19.75
10705 57.41 62.19 1.55 130.75 56.6 7.84 64.71 157.65 40.01 25.18 7.11 30.13 4.91 13.3 16.79
10706 63.72 69.61 1.4 154.99 26.17 7.75 78.96 250.65 91.34 35.89 14.27 38.08 6.06 18 21.1
10707 64.78 69.38 0.82 156.76 26.73 9.16 66.04 206.02 75.19 36.09 5.35 32.84 6.68 18 20.73
10708 68.99 76.35 1.4 160.76 23.6 9.63 75.25 211.42 72.65 34.08 4.62 33.09 5.87 16 24.38
10709 71.43 -999 -999 158.1 21.78 8.76 66.5 184.53 73.78 37.4 10.78 27.77 5.24 15 21.02
10710 63.11 69.38 1.11 148.95 30.74 8.47 68.15 177.72 69.21 38.44 12.56 29.48 5.13 15 19.38
10711 67.65 -999 -999 153.82 32.09 9.85 66.1 214.37 67.71 31.28 16.84 26.61 5.97 18.3 -999
10712 73.72 83.77 2.14 163.89 19.9 9.04 75.01 219.59 78.98 35.34 11.49 36.1 5.35 16.3 24.36
10713 65.42 -999 -999 166.16 19.24 9.71 82.7 208.97 76.67 36.8 9.03 35.51 5.46 16.3 -999
10714 69.87 80.06 1.99 163.78 18.27 9.77 69.28 202.18 85.11 40.73 8.3 30.32 5.94 17 -999
10715 76.14 82.84 1.11 149.68 31.16 12.06 74.78 178.18 69.29 38.34 20.08 34.8 5.56 18.7 26.94
10716 70.66 78.16 0.79 159.3 25.27 8.62 86.58 208.28 80.94 37.56 12.01 32.56 5.58 15.7 24.36
10717 70.48 77.19 1.68 159.22 27.94 10.06 78.37 183.42 64.04 34.44 9.21 29.28 5.35 16.3 23.29
10718 65.37 72.4 1.84 156.27 28.85 10.14 71.88 213.52 73.21 34.02 10.48 35.03 6.06 17.4 -999
10719 69.13 -999 -999 146.09 35.4 9.71 70.11 211.13 71.74 33.86 12.12 33.26 5.24 15.5 -999
10720 63.51 72.17 2.87 141.52 42.5 9.23 68.61 157.23 65.9 42.37 15.42 27.97 4.85 15.2 24.07
10721 69.95 76.11 0.9 160.18 22.22 10.15 75.43 185.46 53.37 28.65 9.19 37.14 6.15 16.3 20.85
10722 64.68 -999 -999 159.5 23.57 9.93 75 187.37 57.23 29.13 13.63 36.68 5.6 16.5 -999
10723 74.22 84.47 2.58 162.22 22.5 10.77 63.77 186.57 75.73 40.38 17.39 30.92 5.89 17.6 25.5
10724 58.71 65.9 2.28 141.33 39.86 9.77 61.53 156.63 48.36 31.25 12 30.18 4.42 13.3 22.64
10725 67.39 73.79 2.28 123.8 60.06 9.01 57.18 212.55 100.65 47.11 17.17 37.81 4.3 17.3 21.58
10726 69.33 73.56 0.08 158.41 24.52 9.58 75.88 191.38 68.23 35.54 6.64 31.81 6.53 17.3 24.65
10727 63.77 68.45 1.7 147.97 36.31 7.65 65.93 173.79 65.07 38.13 7.24 23.55 5.26 14 17.38
10728 59.37 66.13 2.14 152.44 31.1 8.3 61.67 141.69 37.01 26.43 12.35 25.06 5.68 13 17.84
10729 60.45 65.9 1.55 136.2 45.03 8.13 56.75 145.71 42.62 29.59 10.05 31.29 5.42 14.4 15.76
10730 61.31 67.06 1.7 126.33 52.53 8.88 75.69 198.74 71.03 36.11 11.32 40.2 5.29 15.8 -999
10731 65.93 74.95 2.87 149.41 28.16 10.54 68.45 203.73 72.85 35.97 14.9 38.79 6.19 19 -999
10732 70.35 80.52 2.28 140.06 45.42 10.88 78.81 205.47 90.5 43.95 10.16 31.15 6.23 17.7 22.9
10734 64.12 72.17 0.52 155.37 26.23 10.01 71.64 160.3 64.13 40.26 5.58 34.94 4.46 14 23.04
10735 70.54 80.29 2.87 143.66 39.05 9.73 76.72 227.27 82.66 36.04 6.84 39.29 6.35 17.5 23.52
10736 66.7 73.33 1.7 151.53 32.74 9.01 72.45 159.2 53.42 33.59 5.76 39.25 5.05 14.8 20.51
10737 69.34 78.67 1.84 158.23 25.04 9.83 70.2 176.7 75.63 42.88 26.25 28.4 5.38 17 21.44
10738 66.41 77.04 3.02 157.38 23.41 10.15 68.99 204.16 89.07 43.02 8.82 37.74 5.28 16.5 22.72
10739 74.33 82.84 1.4 156.07 29.99 8.37 79.36 223.49 105.23 46.38 23.29 34.3 6.09 17.2 28.66
10740 70.03 79.59 1.99 150.31 36.15 7.33 74.08 195.48 77.39 39.39 10.36 35.9 3.75 16.7 23.23
10741 71.86 -999 -999 138.97 46.42 8.76 75.16 204.72 84.87 41.66 15.34 33.22 6.19 18.5 23.14
10742 64.86 71.24 2.43 131.6 48.23 8.92 81.99 198.01 78.57 39.56 10.41 29.47 5.63 17 23.57
10743 70.2 78.2 2.43 147.94 32.92 10.86 74.02 185.32 72.33 38.62 16.68 33.88 5.87 17.3 23.47
10744 69.02 76.11 1.55 123.68 52.46 7.96 59.15 149.8 66.26 44.09 7.12 30.63 4.26 15 18.81
10745 -999 -999 -999 160.57 18.45 7.65 67.77 163.75 62.71 38.01 11.54 32.1 -999 -999 -999
10746 66 73.56 1.4 158.23 25.27 9.9 64.94 188.95 88.58 46.58 13.71 30.03 4.68 17 22.08
10747 70.87 78.2 1.7 165.4 20.54 9.44 74.76 237.39 99.35 41.57 6.75 32.76 5.35 18.8 20.11
10748 68.62 74.26 1.7 148.59 33.25 10.46 70.94 206.71 78.67 37.76 10.2 40.03 4.8 17.3 22.34
10749 69.83 76.14 1.61 150.69 32 9.31 75.94 219.97 64.75 29.27 5.61 32.26 6.04 16 22.45
