Variety_F1	Inbred_maternal	ID.maternal	Inbred_paternal	ID.paternal	Era.maternal	Era.paternal	Time	N	E
Chuandan13	478	Ye478	18_599	6100	CN_1990s	CN_1990s	1997	103.007339	29.984538
Denghai1	Denghai4866	6137	196	6114	CN_1990s	CN_1990s	1998	120.001344	37.190401
Chengdan14	32	6136	200B	8482	CN_1990s	CN_1990s	1993	104.114502	30.62871
Chengdan13	Mo17	Mo17	3H_2	10758	Public_US	CN_1990s	1992	104.115627	30.615887
Sizao6	434	8442	4F1	8438	CN_1990s	CN_1990s	1992	124.378932	43.184362
Chuandan9	48_2	6125	5003	5003	CN_1990s	CN_1980s	1992	103.007339	29.984538
Yedan12	478	Ye478	515	6120	CN_1990s	CN_1990s	1993	120.001344	37.190401
Yedan22	488	8479	5237	8471	CN_2000s	CN_2000s	2002	120.001344	37.190401
Chengdan19	Cheng687	10717	7327	8451	CN_1990s	CN_1990s	1999	104.114502	30.62871
Nanqidanjao	Nan21_3	8447	75_1	10739	CN_1980s	CN_1980s	1986	108.401981	30.768404
Hudan4	Tian4	10746	803	8444	CN_1990s	CN_1990s	1992	108.610115	34.126037
Yuyu5	Jing7	6117	8112	8112	CN_1980s	CN_1980s	1989	114.094815	35.389105
Jidan29	Ji53	10766	8112	8112	CN_1990s	CN_1980s	1995	114.454827	38.062885
Suyu9	Yan414	8435	812	8437	CN_1990s	CN_1990s	1995	120.639747	32.137367
Miandan1	Nan21_3	8447	81565	8463	CN_1980s	CN_1980s	1989	105.864468	31.118332
HybridN	PH6WC	10762	83B28	12056	CN_2000s	CN_2010s	2013	123.583623	41.908113
Yuyu22	Zong3	8481	87_1	6097	CN_1990s	CN_1990s	1997	113.669781	34.791382
Tiedan12	C8605_2	8461	9010	8469	CN_1990s	CN_2000s	2001	123.815276	42.253768
Baidan4	Tangsipingtou	6115	Aiji205	10741	CN_1960s	CN_1960s	1968	122.810396	45.625263
Yunong704	Ernan24	8474	Aijin525	10737	CN_1970s	CN_1960s	1970	113.666093	34.790175
Zhengdan1	Huobai	6107	Aijin525	10737	CN_1960s	CN_1960s	1968	114.018475	33.590661
Bodan1	Huobai	6107	Aijin525	10737	CN_1960s	CN_1960s	1971	113.124597	35.113957
Qundan105	Aijin525	10737	C103	10743	CN_1960s	Public_US	1968	116.299977	40.048068
Fengshou105	Aijin525	10737	C103	10743	CN_1960s	Public_US	1968	116.613431	39.896467
Longdan8	Hai014	8441	Chang3	6127	CN_1990s	CN_1970s	1990	126.630963	45.693577
Jidan7	Ji533	8450	Chang7_2	C7-2	CN_2000s	CN_1990s	2001	112.644862	35.093057
Zhengdan958	Zheng58	Z58	Chang7_2	C7-2	CN_2000s	CN_1990s	2001	113.68467	34.793804
Yuyu23	478	Ye478	Chang7_2	C7-2	CN_1990s	CN_1990s	1997	114.411054	36.095108
Tiedan9	Tie7922	8477	Dan340	6132	CN_1980s	CN_1980s	1989	123.815276	42.253768
Yedan13	478	Ye478	Dan340	6132	CN_1990s	CN_1980s	1992	120.001344	37.190401
Dan413	Dan599	8454	Dan340	6132	CN_1990s	CN_1980s	1999	124.125131	40.478806
Tiedan10	C8605_2	8461	Dan340	6132	CN_1990s	CN_1980s	1994	123.815276	42.253768
Simi21	4112	8439	Dan340	6132	CN_1990s	CN_1980s	1995	124.378932	43.184362
Danyu15	Mo17	Mo17	Dan340	6132	Public_US	CN_1980s	1987	124.125131	40.478806
Jidan159	Ji846	6113	Dan340	6132	CN_1990s	CN_1980s	1995	124.816356	43.519219
Danyu23	Dan9046	10690	Dan340	6132	CN_1990s	CN_1980s	1997	124.125131	40.478806
Danyu24	Dan599	8454	Dan340	6132	CN_1990s	CN_1980s	1999	124.125131	40.478806
Dan2100	Dan9046	10690	Dan598	6154	CN_1990s	CN_2000s	2000	124.125131	40.478806
Danyu39	C8605_2	8461	Dan598	6154	CN_1990s	CN_2000s	2001	124.125131	40.478806
Danyu16	5003	5003	Danhuang02	8457	CN_1980s	CN_1980s	1984	124.125131	40.478806
HybridJ	DK516M	11638	DK516F	6152	CN_2010s	CN_2010s	2011	125.336677	43.837894
HybridP	DK517M	6153	DK517F	12055	CN_2010s	CN_2010s	2014	125.336677	43.837894
HybridC	DMY1M	10768	DMY1F	11633	CN_2000s	CN_2000s	2006	126.750456	48.055132
HybridG	DMY2M	10770	DMY2F	10769	CN_2000s	CN_2000s	2008	126.750456	48.055132
HybridI	DMY3M	10772	DMY3F	10771	CN_2010s	CN_2010s	2010	126.750456	48.055132
Heyu14	Ken44	10729	Dong17	10728	CN_1980s	CN_1980s	1986	130.405905	46.810648
Danyu13	Mo17	Mo17	E28	6131	Public_US	CN_1980s	1985	124.125131	40.478806
Shendan7	5003	5003	E28	6131	CN_1980s	CN_1980s	1991	123.455439	41.907587
Xiangyu7	478	Ye478	H152	8458	CN_1990s	CN_1990s	1995	113.083613	28.206717
Luyu16	478	Ye478	H21	8473	CN_1990s	CN_1980s	1996	117.07618	36.706324
Luyuandan14	Luyuan92	6124	H21	8473	CN_1990s	CN_1980s	1999	117.07618	36.706324
Luyu10	8112	8112	H21	8473	CN_1980s	CN_1980s	1989	120.731287	36.990997
HybridK	Zheng58	Z58	HD586	6140	CN_2000s	CN_2010s	2011	116.334319	39.966783
Nongda108	178	6142	HuangC	8475	CN_1990s	CN_1990s	1998	116.289132	40.031606
Yuyu1	27_263	10738	Huangzaosi	6141	CN_1970s	CN_1970s	1978	115.689965	34.449444
Luyu3	Ye502	10765	Huangzaosi	6141	CN_1980s	CN_1970s	1983	115.999717	36.443774
Luyu2	Ye107	6135	Huangzaosi	6141	CN_1980s	CN_1970s	1983	119.976319	37.363009
Luyu5	Yuanqi123	10736	Huangzaosi	6141	CN_1980s	CN_1970s	1984	117.084013	36.714216
Yedan2	Ye107	6135	Huangzaosi	6141	CN_1980s	CN_1970s	1983	120.001344	37.190401
Yedan4	8112	8112	Huangzaosi	6141	CN_1980s	CN_1970s	1988	120.001344	37.190401
Jidan10	Huangzaosi	6141	Huobai	6107	CN_1970s	CN_1960s	1982	114.530566	36.568944
Zhengdan2	Tangsipingtou	6115	Huobai	6107	CN_1960s	CN_1960s	1969	113.686732	34.793915
Tangkang5	Huangyesi3	6104	Huotanghuang17	6105	CN_1980s	CN_1980s	1988	118.236988	39.623367
Jidan28	Huangyesi3	6104	Huotanghuang17	6105	CN_1980s	CN_1980s	1994	118.235469	39.623964
Baidan9	ZaC546	8456	Ji63	6129	CN_1980s	CN_1970s	1985	122.810396	45.625263
Sidan10	Xi14	8478	Ji63	6129	CN_1980s	CN_1970s	1992	124.378932	43.184362
Shandan911	K12	6119	K14	10745	CN_1990s	CN_1990s	1995	108.075936	34.270661
HybridR	KWS8855M	10775	KWS8855F	10774	CN_2010s	CN_2010s	2011	126.750456	48.055132
Longdan13	K10	6122	Longkang11	6108	CN_1990s	CN_1990s	1994	126.630963	45.693577
Jingzao7	Huangzaosi	6141	Luosu3	10796	CN_1970s	CN_1970s	1975	116.334319	39.966783
Danyu9	334_1	10720	Lv28	6099	CN_1970s	CN_1960s	1974	124.125131	40.478806
Danyu11	Mo17	Mo17	Lv9kuan	6126	Public_US	CN_1970s	1976	124.125131	40.478806
Tiedan8	Tie7922	8477	Lv9kuan	6126	CN_1980s	CN_1970s	1989	123.815276	42.253768
Zhongke4	ZhongKe4M	6151	Lx9801	6121	CN_2000s	CN_2000s	2004	113.664066	34.793629
Ludan981	Qi319	6110	Lx9801	6121	CN_1990s	CN_2000s	2002	117.07618	36.706324
Jidan101	Ji63	6129	M14	12045	CN_1970s	Public_US	1978	124.816356	43.519219
Changdan4	Chang3	6127	M14	12045	CN_1970s	Public_US	1970	125.247588	43.943222
Sidan16	446	8436	Mo17	Mo17	CN_1980s	Public_US	1988	124.378932	43.184362
Yandan14	Huangzaosi	6141	Mo17	Mo17	CN_1970s	Public_US	1982	121.285945	37.493328
Benyu9	7884_7Ht	6103	Mo17	Mo17	CN_1980s	Public_US	1989	124.108662	41.25495
Sidan19	444	6118	Mo17	Mo17	CN_1990s	Public_US	1995	124.378932	43.184362
Hudan1	Huangzaosi	6141	Mo17	Mo17	CN_1970s	Public_US	1981	108.610115	34.126037
Shandan9	Wu109	6096	Mo17	Mo17	CN_1970s	Public_US	1976	108.075936	34.270661
Sidan8	Xi14	8478	Mo17	Mo17	CN_1980s	Public_US	1981	124.378932	43.184362
Yidan2	Chang72	8446	Mo17	Mo17	CN_1980s	Public_US	1982	111.216856	30.481258
Nongda3138	Zong31	6098	P138	6112	CN_1980s	CN_1990s	1996	116.289132	40.031606
