ID	Variety	Variety_Rename	Maternal	Paternal	Time	N	E	ASI	DTA	DTS	PH	EH	EP	LL	LW	TL	TBN	LAL	LAU
1	Jindan1	Jindan1	Hua160	Tai184	1966	113.15	36.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	Baidan4	Baidan4	Tangsipingtou	Aiji205	1968	122.81	45.63	2.3	59	61.3	322	169.1	52.5	85.3	9.89	37.8	18.8	145.2	36.6
3	Danyu6	Danyu6	Lv28	Zi330	1968	124.13	40.48	2.3	58.5	60.8	300	140.4	46.8	97	9.73	34.8	26.6	151.5	32.7
4	Fengshou105	Fengshou105	Aijin525	C103	1968	116.61	39.9	1.5	62.5	63.5	301.6	152.6	50.6	91.7	11.34	35.2	29.2	152.4	26.5
5	Qundan105	Qundan105	Aijin525	C103	1968	116.3	40.05	4	61.5	65.5	298.3	159.3	53.4	95.9	10.94	38.2	27.4	150.7	30.2
6	Zhengdan1	Zhengdan1	Huobai	Aijin525	1968	114.02	33.59	0.3	56	56.3	296.9	157.7	53.1	88.8	8.28	35.6	32.8	157.2	25.4
7	Zhengdan2	Zhengdan2	Tangsipingtou	Huobai	1969	113.69	34.79	-0.8	59.8	59	301.1	171.8	57.1	78.4	8.54	34.3	19.5	155	26.9
8	Yunong704	Yunong704	Ernan24	Aijin525	1970	113.67	34.79	3.5	58.5	62	292.4	161.4	55.2	87.7	9.44	32.3	20.2	152.4	31.6
9	Changdan4	Changdan4	Chang3	M14	1970	125.25	43.94	1	52.8	53.8	270.1	107.6	39.8	78.5	10.42	37.3	13.8	153.5	29
10	Bodan1	Bodan1	Huobai	Aijin525	1971	113.12	35.11	1.5	56.8	58.3	277.9	154.6	55.7	84	8.44	34.9	25.7	159.8	21.2
11	Zhongdan2	Zhongdan2	Mo17	Zi330	1973	116.33	39.97	4.3	56.5	60.8	305.5	141	46.2	93.4	10.19	45	15.6	138.8	44.2
12	Danyu9	Danyu9	334_1	Lv28	1974	124.13	40.48	3	57	60	232.1	108.1	46.5	78.6	9.15	30.1	24.1	150.6	33
13	Jingza6	Jingza6	Zi330	Xu052	1974	116.3	40.05	4.5	57.3	61.8	298.3	133.9	44.9	91.4	10.4	44.3	16.4	135	48.3
14	Shendan3	Shendan3	Baihe43	Zi330	1974	123.56	41.83	3.5	57.5	61	312.7	134.8	43.1	98.3	10.43	43.3	13.2	147.1	33.8
15	Luyuandan4	Luyuandan4	Yuanwu02	Weifeng322	1974	117.08	36.71	1	54.5	55.5	235.6	122.3	51.9	79.4	11.14	37.1	9.6	140	40.1
16	Jingzao7	Jingzao7	Huangzaosi	Luosu3	1975	116.33	39.97	0.3	54.8	55	273.7	147.1	53.8	85.8	8.61	37.7	24.2	154.2	27.1
17	Danyu11	Danyu11	Mo17	Lv9kuan	1976	124.13	40.48	2.5	58.5	61	302.1	142.3	47.2	100.4	10.62	45.9	17	156.5	28.3
18	Shandan9	Shandan9	Wu109	Mo17	1976	108.08	34.27	2.8	58	60.8	314.9	153.9	48.9	93.5	11.14	45	16.2	149.7	35.1
19	Nendan3	Nendan3	Diangu11A	Zaodahuang	1977	125.23	49.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
